Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Lovesick","Alan Walker","Walkerverse Pt. I & II","Bestest","Playlist","NOG842215010","2ECNBJ0b112QmhoBHKq8O6"
"Dream On","Aerosmith","Aerosmith","Bestest","Playlist","USSM10011897","1xsYj84j7hUDDnTTerGWlH"
"Calm Down","Rema","Midnight Vibes","Bestest","Playlist","NGA3B2214021","3YnHHcTIevX8WUNgGxrSdc"
"Livin' On A Prayer","Bon Jovi","PWR ROCKERO II","Bestest","Playlist","USPR38619998","3mCUiOnqxu3NmMDOnp7KFV"
"Wicked Game","Harddope","Wicked Game","Bestest","Playlist","QM42K2108382","2z3TV2ulPlaeBnENHCkkmq"
"MIDDLE OF THE NIGHT","Elley Duhé","MIDDLE OF THE NIGHT","Bestest","Playlist","USRC11903813","58HvfVOeJY7lUuCqF0m3ly"
"Set Fire to the Rain","Adele","21","Bestest","Playlist","GBBKS1000348","3di5hcvxxciiqwMH1jarhY"
"Wake Me Up Before You Go-Go","Wham!","Make It Big","Bestest","Playlist","GBBBN0009712","0ikz6tENMONtK6qGkOrU3c"
"Rock the Night","Europe","The Final Countdown (Expanded Edition)","Bestest","Playlist","USSM10105445","3J9NEWkd9Cx1MwSSvDySkL"
"Bullet In the Head","Rage Against The Machine","Rage Against The Machine","Bestest","Playlist","USSM19200663","11cxKUEgnVAlesUKt4e3br"
"Bad Romance","Lady Gaga","The Fame Monster (Deluxe Edition)","Bestest","Playlist","USUM70918596","0SiywuOBRcynK0uKGWdCnn"
"Let You Down","NF","Chill Hits","Bestest","Playlist","USUM71708226","3AuGngAiB85hmK7tvURWGD"
"Lovin' You Baby","Laura Branigan","Branigan","Bestest","Playlist","USAT20101337","1tKGQPogV8BGsVCX7OZvTU"
"Love You Like A Love Song","Selena Gomez & The Scene","Cheesy Hits","Bestest","Playlist","USHR11132668","66QpVjP2vGORr2hAjE9kAb"
"GOSSIP (feat. Tom Morello)","Måneskin","GOSSIP (feat. Tom Morello)","Bestest","Playlist","ITB002200841","4GvPlSOKfN7aXEuGW8zKUx"
"Total Eclipse of the Heart","Bonnie Tyler","Faster Than the Speed of Night","Bestest","Playlist","GBBBN8302012","1VrfLrBviw9A6JzRoo3t2C"
"Enjoy the Silence","Depeche Mode","The Best of Depeche Mode, Vol. 1 (Deluxe)","Bestest","Playlist","GBAJH0602198","0ULPav7qqKTHn7vgi9v42k"
"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush","Hounds of Love (2018 Remaster)","Bestest","Playlist","GBAYE1800884","3srCbzeE3z0LupnOpdwh4h"
"Morirò da Re","Måneskin","Il ballo della vita","Bestest","Playlist","ITB001800090","1aX0Ki80LFzzhqxqRlqbAV"
"Royalty","Egzod","Royalty","Bestest","Playlist","GB2LD2110089","7kUljt0NM5sISL3OGNVxYd"
"A Man for All Seasons","Flies on the Square Egg","A Tribute to Robbie Williams, Vol. 1","Bestest","Playlist","CAM460422869","6K5Qga3bLIZxkz9ez3lfvu"
"Gangsta's Paradise","Coolio","Gangsta's Paradise","Bestest","Playlist","USTB10250016","3iXI6ZaNBoL2dNv9K7LBh3"
"The Drum","Alan Walker","Walkerverse Pt. I & II","Bestest","Playlist","NOG842205010","3a30AggW6Hi5yZuHJyZrZu"
"Trouble In Paradise","Alice Merton","Mint","Bestest","Playlist","DEVQ71900007","3N4v33W3acVCQRWwUENDr7"
"Alone","Alan Walker","Different World","Bestest","Playlist","NOG841617010","3LlmKSHR3Rs0Y3KHQLAYDk"
"Ignite","Alan Walker","Ignite","Bestest","Playlist","NOG841803010","1jLsirPDkUS2g4gnkYua58"
"Drunk Groove","MARUV","Black Water","Bestest","Playlist","RUA591701134","5oAuqB3aoXBm0nmyEKYxAU"
"ABCDEFU","Harddope","ABCDEFU","Bestest","Playlist","QZKDK2240847","2xbw8jEdJAiiP3VCbOWKvK"
"Leave Me Alone - 2012 Remaster","Michael Jackson","Bad (Remastered)","Bestest","Playlist","USSM11204990","6pJSulm9EBmsYGnp3uaEFl"
"Beat It","Michael Jackson","The Essential Michael Jackson","Bestest","Playlist","USSM19902990","1xEpz8iZDReyXevFcP89XG"
"Bad - 2012 Remaster","Michael Jackson","Bad 25th Anniversary","Bestest","Playlist","USSM11204980","5lWFrW5T3JtxVCLDb7etPu"
"Smooth Criminal - Radio Edit","Michael Jackson","The Essential Michael Jackson","Bestest","Playlist","USSM19909073","2GVYPY8Sv7U7cJkDFu3Ft1"
"Skyfall","Adele","Skyfall","Bestest","Playlist","GBBKS1200164","6VObnIkLVruX4UVyxWhlqm"
"Ainsi bas la vida","Indila","Mini World (Deluxe)","Bestest","Playlist","FRUM71402811","4lsOsGMzO1yCjGVucoWOZ1"
"Sound of da Police","KRS-One","Return of the Boom Bap","Bestest","Playlist","GBAHK9300100","3Y6XWs8xMlCngyIxNOFnsp"
"One Way Or Another","Blondie","Running 140-160-180 BPM - Uptempo","Bestest","Playlist","USCH38500014","03eLCP1AVNMxt9wTUc9xQQ"
"Lay All Your Love On Me","ABBA","Love Song Classics","Bestest","Playlist","SEAYD8001090","2dtaYtDMbRfVvcRF7cTKnY"
"Ride","Twenty One Pilots","Blurryface","Bestest","Playlist","USAT21500598","2Z8WuEywRWYTKe1NybPQEW"
"I Am The Future","Triniti Bhaguandas","High On Life","Bestest","Playlist","QMUJA2101981","0Ar8Zm3p2UMMTkZlNUmMsp"
"Hello World","Alan Walker","Walkerverse Pt. I & II","Bestest","Playlist","NOG842201010","7dRlvfMWDLG11RidzmLrWe"
"Objection (Tango)","Shakira","Laundry Service","Bestest","Playlist","NLB630100360","36YNa8joLwu9yor2TkZbIY"
"Ninja","Europe","The Final Countdown (Expanded Edition)","Bestest","Playlist","USSM18600405","7cMQPvEEDqKRHzyYkJR3QY"
"Rockabye","Clean Bandit","Glad U Came Feel Good","Bestest","Playlist","GBAHS1600363","2ZkWvnnPK4ZgHeUoNqXAcy"
"Just Dance","Lady Gaga","The Fame Monster (Deluxe Edition)","Bestest","Playlist","USUM70807646","3QuEpyj4kTRWiWuckd1hcK"
"I'm So Excited","The Pointer Sisters","Hits!","Bestest","Playlist","USRC18203285","1XvrMOEi2oLFYdrkfIX3xG"
"Watermelon Sugar","Harry Styles","Fine Line","Bestest","Playlist","USSM11912587","6UelLqGlWMcVH1E5c4H7lY"
"Big Girls Cry","Sia","1000 Forms Of Fear","Bestest","Playlist","USRC11400980","75xgoXAGed7jiNDdV8TNOe"
"Who Is She ?","I Monster","Neveroddoreven","Bestest","Playlist","GBDKA0300194","1QxcWlk8PivolUaWcpAoNq"
"Faded Love","Nito-Onna","Faded Love","Bestest","Playlist","QM42K2266409","189pjQyE8glS6BnqAC14kY"
"Children of the Sky (a Starfield song)","Imagine Dragons","Children of the Sky (a Starfield song)","Bestest","Playlist","USUM72308805","1W7ughJhjRaANaAUcxTfnC"
"Kids in America","The Muffs","Hamburger","Bestest","Playlist","USQY50972559","5lZAzpl6XoswhDz7BukTta"
"I Should've Followed You Home (feat. Gary Barlow)","Agnetha Fältskog","A","Bestest","Playlist","GBUM71300764","2QVvjkg932elT14hJSP0in"
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding","Florals for Spring","Bestest","Playlist","GBUM71406823","4FHZBOF1v286ciThJeky3D"
"Oh My God","Adele","30","Bestest","Playlist","USSM12105973","3Kkjo3cT83cw09VJyrLNwX"
"Legends Never Die","League of Legends","Legends Never Die","Bestest","Playlist","QMAF31500062","1FpVJ7HpZInE2GvhVE2TwT"
"Angels Like You","Miley Cyrus","Plastic Hearts","Bestest","Playlist","USRC12003754","0QdePZJfBpRIBautuT4FSx"
"Sign of the Times","Europe","The Final Countdown: The Best Of Europe","Bestest","Playlist","USSM18800128","6lDOd09xa76ZCZnl5AkCxm"
"THE LONELIEST","Måneskin","THE LONELIEST","Bestest","Playlist","ITB002200745","1Ame8XTX6QHY0l0ahqUhgv"
"Someone Like You","Adele","21","Bestest","Playlist","GBBKS1000351","3bNv3VuUOKgrf5hu3YcuRo"
"Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans","Bestest","Playlist","USAT21001985","1wVuPmvt6AWvTL5W2GJnzZ"
"Love Never Felt So Good","Michael Jackson","XSCAPE","Bestest","Playlist","USSM11401744","0S5EEpFAHcT7cm5XOASc29"
